id,title,author,year
504,The Works of Archimedes,Archimedes,-212
505,"Theophrastus: His Psychological, Doxographical, and Scientific Writings","William Wall Fortenbaugh, Dimitri Gutas",1992
506,An inquiry into the causes and effects of the variolae vaccinae,Edward Jenner,1798
507,"The Influence of Sea Power Upon History, 1660-1783",Alfred Thayer Mahan,1890
508,"Catiline's War, The Jugurthine War, Histories",Sallust,-35
509,Anabasis,Xenophon,
510,On the Fabric of the Human Body,Andreas Vesalius,1543
511,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,
512,The Histories,Polybius,
513,Notes from a Small Island,Bill Bryson,1995
514,The City of God,Saint Augustine ,426
515,Three Cups of Tea,"Greg Mortenson, David Oliver Relin",2006
516,Mountains Beyond Mountains: One doctor's quest to heal the world,Tracy Kidder,2003
517,Kaffir Boy,Mark Mathabane,1986
518,A Heartbreaking Work of Staggering Genius,Dave Eggers,2000
519,Nadja,André Breton,1928
520,"Guns, Germs, and Steel",Jared Diamond,1997
521,"The Making of the President, 1960",Theodore White,1961
522,John Adams,David McCullough,2001
523,One Writer's Beginnings,Eudora Welty,1983
524,How Democracies Perish,Jean François Revel,1983
525,Surrealist Manifesto,André Breton,1924
526,The Pleasure of the Text,Roland Barthes,1975
527,Infidel,Ayaan Hirsi Ali,2007
528,Documents of Modern Art,Robert Motherwell,1972
529,The Story of Art,E. H. Gombrich,1950
530,An Inconvenient Truth: The Planetary Emergency of Global Warming and What We Can Do About It,Al Gore,2006
531,A Sand County Almanac,Aldo Leopold,1949
532,"The Theory of Economic Development: An Inquiry into Profits, Capital, Credit, Interest, and the Business Cycle",Joseph A. Schumpeter,1911
533,The Dancing Wu Li Masters,Gary Zukav,1979
534,Free to Choose: A Personal Statement,"Milton Friedman, Rose Friedman",1980
535,For a New Novel,Alain Robbe-Grillet,1953
536,The Paris Review Interviews,Paris Review,2003
537,The Writer on Her Work,Janet Sternburg,1980
538,The World Within the Word,William H. Gass,1978
539,"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,1979
540,Small Is Beautiful: Economics as if People Mattered,E. F. Schumacher,1973
541,Fiction and the Figures of Life,William H. Gass,1970
542,Desert Flower,"Waris Dirie, Cathleen Miller",1998
543,"The Road Less Travelled: A New Psychology of Love, Traditional Values and Spiritual Growth",M. Scott Peck,1978
544,Other Inquisitions,Jorge Luis Borges,1952
545,The Story of Art,Ernst Hans Gombrich,1950
546,How We Live,Rust Hills,2003
547,Guerrilla Warfare,Che Guevara,1961
548,Superfiction,Joe David Bellamy,1975
549,The Songlines,Bruce Chatwin,1987
550,My Life in France,Julia Child,2006
551,The Meaning of Hitler,Sebastian Haffner,1978
552,Entropy,"Jeremy Rifkin, Ted Howard",
