id,title,author,avg_rating,ratings,url,img,pages,year
137,Rationalism in Politics and Other Essays,Michael Oakeshott,4.06,149,/book/show/112736.Rationalism_in_Politics_and_Other_Essays,https://d2arxad8u2l0g7.cloudfront.net/books/1328776874l/112736.jpg,582,1962
138,Poetics,Aristotle,3.80,"11,596",/book/show/13270.Poetics,https://d2arxad8u2l0g7.cloudfront.net/books/1348161995l/13270.jpg,62,-335
139,"Uvre de Claude LVI-Strauss: La Pense Sauvage, Tristes Tropiques, Le Cru Et Le Cuit, Anthropologie Structurale",Livres Groupe,4.33,3,/book/show/9602144-uvre-de-claude-lvi-strauss,https://d2arxad8u2l0g7.cloudfront.net/books/1347562269l/9602144.jpg,26,1955
140,Dispatches,Michael Herr,4.24,"9,669",/book/show/4339.Dispatches,https://d2arxad8u2l0g7.cloudfront.net/books/1343099128l/4339.jpg,260,1977
141,A Supposedly Fun Thing I'll Never Do Again:  Essays and Arguments,David Foster Wallace,4.27,"24,267",/book/show/6748.A_Supposedly_Fun_Thing_I_ll_Never_Do_Again,https://d2arxad8u2l0g7.cloudfront.net/books/1438206388l/6748.jpg,353,1997
142,Second Treatise of Government,John Locke,3.74,"13,471",/book/show/448836.Second_Treatise_of_Government,https://d2arxad8u2l0g7.cloudfront.net/books/1405624453l/448836.jpg,148,1689
143,Either Is Love,Elisabeth Craigin,3.50,2,/book/show/4324494-either-is-love,,155,1843
144,The Unconscious,Sigmund Freud,3.70,150,/book/show/229883.The_Unconscious,https://d2arxad8u2l0g7.cloudfront.net/books/1348071037l/229883.jpg,106,1890
145,Rights of Man,Thomas Paine,4.01,"7,011",/book/show/177523.Rights_of_Man,https://d2arxad8u2l0g7.cloudfront.net/books/1330098998l/177523.jpg,229,1791
146,Economy and Society: An Outline of Interpretive Sociology,Max Weber,4.10,855,/book/show/136026.Economy_and_Society,https://d2arxad8u2l0g7.cloudfront.net/books/1348280636l/136026.jpg,1470,1922
147,Desert Solitaire,Edward Abbey,4.22,"26,858",/book/show/214614.Desert_Solitaire,https://d2arxad8u2l0g7.cloudfront.net/books/1399583343l/214614.jpg,337,1968
148,The Snow Leopard,Peter Matthiessen,4.12,"8,461",/book/show/764165.The_Snow_Leopard,https://d2arxad8u2l0g7.cloudfront.net/books/1309211772l/764165.jpg,352,1978
149,Goodbye to All That,Robert Graves,4.05,"7,010",/book/show/55428.Goodbye_to_All_That,https://d2arxad8u2l0g7.cloudfront.net/books/1348218570l/55428.jpg,281,1929
150,Samuel Johnson,Walter Jackson Bate,4.18,130,/book/show/356663.Samuel_Johnson,https://d2arxad8u2l0g7.cloudfront.net/books/1388530375l/356663.jpg,672,1977
151,Sociobiology: The New Synthesis,Edward O. Wilson,4.05,967,/book/show/183819.Sociobiology,https://d2arxad8u2l0g7.cloudfront.net/books/1388340811l/183819.jpg,720,1975
152,The Journal of Jules Renard,Jules Renard,4.17,200,/book/show/3660828-the-journal-of-jules-renard,https://d2arxad8u2l0g7.cloudfront.net/books/1328763559l/3660828.jpg,304,1925
153,The Woman Warrior,Maxine Hong Kingston,3.71,"17,611",/book/show/30852.The_Woman_Warrior,https://d2arxad8u2l0g7.cloudfront.net/books/1418654290l/30852.jpg,204,1975
154,A Mathematician's Apology,G Hardy,0.00,0,/book/show/29465724-a-mathematician-s-apology,,74,1940
