id,title,author,avg_rating,ratings,url,img,pages,year
1054,"The Rape of Europa by Jupiter (1694); And, Acis and Galatea (1701)",John Eccles,liked it 3.00,,/book/show/564423.The_Rape_of_Europa_by_Jupiter_1694_And_Acis_and_Galatea,,,1995
1055,The Founding of New England,James Truslow Adams,liked it 3.00,,/book/show/1192937.The_Founding_of_New_England,https://d2arxad8u2l0g7.cloudfront.net/books/1348010655l/1192937.jpg,,1921
1056,The Autobiography of William Allen White,William Allen White,4.12,24,/book/show/206805.The_Autobiography_of_William_Allen_White,https://d2arxad8u2l0g7.cloudfront.net/books/1386924924l/206805.jpg,700,1946
1057,"The Flowering of New England, 1815-1865",Van Wyck Brooks,really liked it 4.00,41,/book/show/1206754.The_Flowering_of_New_England_1815_1865,https://d2arxad8u2l0g7.cloudfront.net/books/1376031559l/1206754.jpg,,1937
1058,A Prince of Our Disorder: The Life of T.E. Lawrence,John E. Mack,4.19,219,/book/show/64682.A_Prince_of_Our_Disorder,https://d2arxad8u2l0g7.cloudfront.net/books/1388293815l/64682.jpg,624,1976
1059,The Dead Hand: The Untold Story of the Cold War Arms Race and its Dangerous Legacy,David E. Hoffman,4.08,"2,408",/book/show/6623920-the-dead-hand,https://d2arxad8u2l0g7.cloudfront.net/books/1320419175l/6623920.jpg,592,2009
1060,George Washington on Leadership,Richard Brookhiser,3.67,207,/book/show/2564808-george-washington-on-leadership,https://d2arxad8u2l0g7.cloudfront.net/books/1442849037l/2564808.jpg,272,1957
1061,Founding Brothers: The Revolutionary Generation by Joseph Ellis l Summary & Study Guide,BookRags,liked it 3.00,2,/book/show/22360572-founding-brothers,https://d2arxad8u2l0g7.cloudfront.net/books/1401229753l/22360572.jpg,58,2000
1062,"W.E.B. Du Bois: Biography of a Race, 1868-1919",David Levering Lewis,4.31,"1,454",/book/show/17618.W_E_B_Du_Bois,https://d2arxad8u2l0g7.cloudfront.net/books/1328036936l/17618.jpg,735,1993
1063,The Man from New York: John Quinn and His Friends,Benjamin Lawrence Reid,it was amazing 5.00,,/book/show/2595482-the-man-from-new-york,https://d2arxad8u2l0g7.cloudfront.net/books/1459570039l/2595482.jpg,708,1969
1064,Newjack: Guarding Sing Sing,Ted Conover,3.95,"2,837",/book/show/53225.Newjack,https://d2arxad8u2l0g7.cloudfront.net/books/1403187756l/53225.jpg,352,2001
1065,Change We Can Believe In: Barack Obama's Plan to Renew America's Promise,Barack Obama,3.62,"1,061",/book/show/4066507-change-we-can-believe-in,https://d2arxad8u2l0g7.cloudfront.net/books/1320476811l/4066507.jpg,288,2008
1066,The Atlantic Migration 1607-1860: A History of the Continuing Settlement of the United States,Marcus Lee Hansen,4.40,5,/book/show/6534020-the-atlantic-migration-1607-1860,https://d2arxad8u2l0g7.cloudfront.net/books/1347944427l/6534020.jpg,428,1860
1067,Hirohito and the Making of Modern Japan,Herbert P. Bix,3.78,"1,336",/book/show/93959.Hirohito_and_the_Making_of_Modern_Japan,https://d2arxad8u2l0g7.cloudfront.net/books/1407707626l/93959.jpg,832,2000
1068,Forgotten First Citizen: John Bigelow,Margaret Clapp,liked it 3.00,,/book/show/2595697-forgotten-first-citizen,,390,1948
1069,The Dred Scott Case: Its Significance in American Law and Politics,Don E. Fehrenbacher,4.33,90,/book/show/993497.The_Dred_Scott_Case,https://d2arxad8u2l0g7.cloudfront.net/books/1348420494l/993497.jpg,768,1979
1070,Mistress to an Age: A Life of Madame de Staël,J. Christopher Herold,4.08,79,/book/show/599147.Mistress_to_an_Age,https://d2arxad8u2l0g7.cloudfront.net/books/1348833124l/599147.jpg,512,1958
1071,Fin-de-Siècle Vienna: Politics and Culture,Carl E. Schorske,4.07,930,/book/show/197287.Fin_de_Si_cle_Vienna,https://d2arxad8u2l0g7.cloudfront.net/books/1439288268l/197287.jpg,378,1980
1072,Driven: How Human Nature Shapes our Choices,Paul R. Lawrence,3.94,"2,338",/book/show/1878833.Driven,https://d2arxad8u2l0g7.cloudfront.net/books/1189647676l/1878833.jpg,300,1979
1073,The Americanization of Edward Bok,Edward Bok,4.04,74,/book/show/940412.The_Americanization_of_Edward_Bok,https://d2arxad8u2l0g7.cloudfront.net/books/1179640741l/940412.jpg,,1921
1074,We Wish to Inform You That Tomorrow We Will Be Killed with Our Families,Philip Gourevitch,4.32,"16,985",/book/show/11472.We_Wish_to_Inform_You_That_Tomorrow_We_Will_Be_Killed_with_Our_Families,https://d2arxad8u2l0g7.cloudfront.net/books/1442723264l/11472.jpg,356,1998
